file_name,accessible,title,description,keywords,publish_date
stdprod_105270,,"Ditch and Drainage Work and Endangered or Threatened Species","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Ditch and Drainage Work and Endangered or Threatened Species",2013-06-05
stdprod_105249,,"Tanner, traiter ou préserver des peaux d'animaux sauvages","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Tanner, traiter ou préserver des peaux d'animaux sauvages",2013-06-05
stdprod_088001,,"Results-based Plan 2011-12 - PDF","Results-based Plan 2011-12",,"Results-based Plan 2011-12",2012-05-25
stdprod_096620,,"Plan axé sur les résultats publié 2011-12 - PDF","Plan axé sur les résultats publié 2011-12",vern.crawford@ontario.ca,"Plan axé sur les résultats publié 2011-12",2013-10-15
stdprod_087998,,"RBP 2011-12 Table 5: Operating and Capital Summary by Vote","Table 5: Operating and Capital Summary by Vote",,Table,2011-07-15
stdprod_087996,,"RBP 2011-12 Ministry Org Chart","Ministry Organization Chart",,"Organization Chart",2011-07-15
stdprod_088444,,"MNR letter to The Highland Companies  (April 26, 2011)","Proposed Highland Quarry ARA application, Part of Lots 18 to 23, Concession 1 O.S., Part of Lots 18 & 19, Concession 2 O.S., Part of Lots 17 to 21, Concession 3 O.S., Part of Lots 16 to 19, Concession 4 O.S., Part of Original Road Allowance between Lots 20 & 21, Concession 3 O.S., Township of Melancthon, County of Dufferin",,"Highlands Companies, Highland Quarry",2011-08-02
stdprod_088445,,"The Highlands Companies letter the Ministry of Natural Resources (July 18, 2011)","Application by The Highland Companies for a Class A Extraction Licence for the Proposed Melancthon Quarry",,"The Highland Companies, John Lowndes, Melancthon Quarry, quarry",2011-08-08
stdprod_087992,,"RBP 2011-12 Ministry Contribution to Government Priorities","Diagram 1: Ministry Contribution to Government Priorities and Key Results",,"Government Priorities",2011-07-15
stdprod_088448,,"MNR letter to The Highland Companies  (July 21, 2011)","Melancthon Quarry Application by the Highlands Companies for a Class A Licence under the Aggregate Resources Act",,"Melancthon, quarry, Highlands Companies, John Lowndes",2011-08-02
stdprod_082552,,"Letter from the Honourable Linda Jeffrey, Minister of Natural Resources, Ontario, to the   Honourable Leona Aglukkaq, Minister of Health, Health Canada (February 28, 2011)","Letter from the Honourable Linda Jeffrey, Minister of Natural Resources, Ontario, to the Honourable Leona Aglukkaq, Minister of Health, Health Canada, on the historic use of 2,4,5-Trichlorophenoxyacetic acid (2,4,5-T) herbicide in Ontario (February 28, 2011)",webmaster@mnr.gov.on.ca,"herbicides,2,4,5-Trichlorophenoxyacetic acid, 2,4,5-T, herbicide, historic",2011-03-09
stdprod_082553,,"Letter from Virginia M. West, Deputy Minister, Ontario Ministry of Natural Resources, to   Deputy Ministers of Health Canada, Environment Canada, Natural Resources Canada, and   Canadian Council of Forest Ministers (March 1, 2011)","Letter from Virginia M. West, Deputy Minister, Ontario Ministry of Natural Resources, to                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Deputy Ministers of Health Canada, Environment Canada, Natural Resources Canada, and Canadian Council of Forest Ministers, on the historic use of 2,4,5-Trichlorophenoxyacetic acid (2,4,5-T) herbicide in Ontario (March 1, 2011)",webmaster@mnr.gov.on.ca,"herbicides,2,4,5-Trichlorophenoxyacetic acid, 2,4,5-T, herbicide, historic",2011-03-09
stdprod_067647,,"Results-based Plan 2010-11 (PDF English)","Results-based Plan 2010-11",vern.crawford@ontario.ca,"Results-based Plan 2010-11",2010-08-05
287256,,"Engagements et normes de service","Engagements et normes de service",ron.evers@ontario.ca,"Engagements et normes de service",2010-05-06
stdprod_067648,,"Results-based Plan 2010-11 ( PDF French)","Plan axé sur les résultats publié 2010-11 /  Results-based Plan 2010-11",vern.crawford@ontario.ca,"Plan axé sur les résultats publié 2011",2010-08-05
287255,,"Service Commitment and Service Standards","Service Commitment and Service Standards",ron.evers@ontario.ca,"Service Commitment and Service Standards",2010-05-06
247806,,"Plan axé sur les résultats publié 2008-2009","Le ministère des Richesses naturelles est chargé de l’intendance environnementale des parcs provinciaux, des forêts, des pêcheries, de la faune, des agrégats de minéraux, des richesses pétrolières ainsi que des terres et des eaux de la Couronne.",vern.crawford@mnr.gov.on.ca,"publications, rapports, téléchargements, des publications d'enterprise, la planification axée sur les résultats, rapport annuel, 2008, 2009",2010-05-05
203675,,"Notre Avenir Durable :  Orientations stratégiques du Ministère des Richesses naturelles","Notre avenir durable se veut une expression des orientations strat&#233;giques &#224; long terme et priorit&#233;s courantes du minist&#232;re.",,"OSF, Notre Avenir Durable, NAD,  Notre Avenir Durable Orientations stratégiques du Ministère des Richesses naturelles",2010-05-06
274118,,"RBP 2009-10 Ministry Organization Chart_Fr","Organigramme du Ministère",,"Organigramme, Ministère",2010-05-06
274085,,"RBP 2009-10 Ministry Contribution to Government Priorities","Diagram 1: Ministry Contribution to Government Priorities and Key Results",,"Government Priorities",2010-05-06
274115,,"RBP 2009-10 Ministry Contribution to Government Priorities_FR","Diagramme 1 : Contribution du Ministère aux priorités et aux résultats clés du gouvernement",,"gouvernement priorités",2010-05-06
mnr_e000002,,"Our Sustainable Future: Strategic Directions","Our Sustainable Future is an expression of long-term strategic directions and current priorities. The ministry will use the plan to guide the ministry's activities and organizational transformation to deliver on its goals, strategies and actions.",webmaster@mnr.gov.on.ca,"Our Sustainable Future, strategic directions, priorities, sustainable, sustainability",2010-05-06
274088,,"RBP 2009-10 Ministry Org Chart","Ministry Organization Chart",,"Organization Chart",2010-05-06
200263,,"Published Results Based Plan 2007/08","In pursuing these goals, the ministry contributes to the government’s key commitments, priorities and results.",webmaster@mnr.gov.on.ca,"publications, reports, downloads, corporate reports, corporate publications, Results-Based Plan, annual report, 2007, 2008, 2007/08",2010-05-06
247805,,"Published Results-based Plan 2008/09","The Ministry of Natural Resources is the steward of Ontario's provincial parks, forests, fisheries, wildlife, mineral aggregates, petroleum resources and the Crown land and waters that make up 87 per cent of the province.",vern.crawford@ontario.ca,"publications, reports, corporate reports, corporate publications,  Results-Based Plan, annual report, RBP, 2008, 2009, 2008/09, breifing book",2010-05-05
200264,,"Plan fondé sur les résultats publié 2006-2007","En poursuivant ces buts, le ministère contribue à l’atteinte des engagements, priorités et résultats clés du gouvernement.",,"Published, RBP, Results, based, plan, results-based, 2007, 2008, 2007/08,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Plan fondé sur les résultats publié 2006-2007",2010-05-06
274149,,"Results-based Plan 2009-10 - PDF (French)","Results-based Plan 2009-10",,"Results-based Plan 2009-10",2010-05-06
